incidentType,declarationDate,disasterNumber,county,damagedStateAbbreviation,damagedCity,damagedZipCode,applicantAge,householdComposition,occupantsUnderTwo,occupants2to5,occupants6to18,occupants19to64,occupants65andOver,grossIncome,ownRent,primaryResidence,residenceType,homeOwnersInsurance,floodInsurance,registrationMethod,ihpReferral,ihpEligible,ihpAmount,fipAmount,haReferral,haEligible,haAmount,haStatus,onaReferral,onaEligible,onaAmount,utilitiesOut,homeDamage,autoDamage,emergencyNeeds,foodNeed,shelterNeed,accessFunctionalNeeds,sbaEligible,sbaApproved,inspnIssued,inspnReturned,habitabilityRepairsRequired,rpfvl,ppfvl,renterDamageLevel,destroyed,waterLevel,highWaterLocation,floodDamage,floodDamageAmount,foundationDamage,foundationDamageAmount,roofDamage,roofDamageAmount,tsaEligible,tsaCheckedIn,rentalAssistanceEligible,rentalAssistanceAmount,repairAssistanceEligible,repairAmount,replacementAssistanceEligible,replacementAmount,personalPropertyEligible,personalPropertyAmount,ihpMax,haMax,onaMax,lastRefresh,id
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,4,1,1,0,2,0,"$60,001-$120,000",Owner,true,House/Duplex,true,false,Mobile,true,true,484.99,0,true,false,0,TSA - Transitional Sheltering Assistance,true,true,484.99,true,true,false,true,true,true,false,false,false,true,true,false,962.96,612.49,,false,0,,false,0,false,0,true,209.95,true,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae1065613448
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,4,1,1,0,2,0,"$60,001-$120,000",Owner,false,House/Duplex,true,false,Internet,false,false,0,0,false,false,0,,false,false,0,false,true,false,false,,,false,false,false,false,false,,0,0,,false,0,,false,0,false,0,false,0,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae106561344a
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,2,0,0,0,2,0,"$60,001-$120,000",Renter,true,Apartment,false,false,Mobile,true,false,0,0,true,false,0,WVO - Withdrawn - Applicant Withdrew Voluntarily,false,false,0,false,true,false,true,true,true,false,false,false,true,true,,0,0,,false,0,,false,0,false,0,false,0,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae1065613452
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,2,0,0,0,2,0,"$30,001-$60,000",Owner,true,House/Duplex,true,false,Mobile,true,false,0,0,true,false,0,"INR,INS - Ineligible No Relocation, Insured",true,false,0,false,true,false,true,true,,false,false,false,true,true,true,1003.34,0,,false,0,,false,0,false,0,true,169.92,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae1065613475
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,35-49,3,0,0,1,2,0,0,Renter,true,House/Duplex,false,false,Internet,true,false,0,0,true,false,0,TSA - Transitional Sheltering Assistance,false,false,0,false,false,false,true,true,true,false,false,false,false,false,,0,0,,false,0,,false,0,false,0,false,0,true,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae1065613462
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,35-49,1,0,0,0,1,0,"$15,000-$30,000",Owner,true,Travel Trailer,false,false,Mobile,true,true,728.53,0,true,false,0,INPR - Ineligible - Not Primary Residence,true,true,728.53,false,true,true,true,,true,false,false,false,true,true,,70.89,728.53,,false,0,,false,0,false,0,false,0,false,false,false,0,false,0,false,0,true,728.53,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae1065613485
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,50-64,2,0,0,0,2,0,0,Owner,true,House/Duplex,true,false,Internet,true,true,269.99,0,true,false,0,TSA - Transitional Sheltering Assistance,true,true,269.99,false,true,false,true,true,true,false,true,true,true,true,true,8774.44,269.99,,false,0,,false,0,false,0,true,1020.88,true,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae1065613463
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,1,0,0,0,1,0,"$30,001-$60,000",Owner,true,House/Duplex,true,false,Mobile,true,false,0,0,true,false,0,WVO - Withdrawn - Applicant Withdrew Voluntarily,false,false,0,false,true,false,false,,,false,false,false,true,true,,0,0,,false,0,,false,0,false,0,false,0,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae1065613470
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,35-49,4,0,0,0,4,0,"$60,001-$120,000",Renter,true,Mobile Home,false,false,Mobile,true,true,2807.21,0,true,true,2022,INONV - Ineligible - Occupancy Not Verified,true,true,785.21,false,true,false,true,true,true,false,false,false,true,true,true,0,785.21,Renter-Moderate Damage(Renter No Cost),false,0,,false,0,false,0,false,0,true,false,true,2022,false,0,false,0,true,785.21,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae106561347b
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,3,0,1,0,2,0,"$30,001-$60,000",Renter,true,Apartment,false,false,Mobile,true,false,0,0,true,false,0,IID- Ineligible - Insufficient Damage,false,false,0,false,true,false,true,true,,false,false,false,true,true,false,0,993.21,,false,0,,false,0,false,0,false,0,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae1065613483
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,4,1,0,2,1,0,"$15,000-$30,000",Renter,true,Townhouse,false,false,Mobile,true,true,17156.24,0,true,true,15577,ERCT - Eligible - Recertification  ,true,true,1579.24,true,true,false,true,true,true,false,false,false,true,true,true,0,1694.23,Renter-Moderate Damage(Renter No Cost),false,0,,false,0,false,0,false,0,false,false,true,15577,false,0,false,0,true,1579.24,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134a7
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,CALLAWAY,32404,35-49,4,0,0,1,3,0,"$30,001-$60,000",Owner,true,House/Duplex,true,false,Internet,true,false,0,0,true,false,0,INI - Ineligible - Ineligible Insurance,false,false,0,true,true,false,true,true,true,false,true,true,true,true,true,12432.48,520.53,,false,0,,false,0,false,0,true,6599.72,true,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134ca
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,2,0,0,0,2,0,"$30,001-$60,000",Renter,true,Townhouse,false,false,Internet,true,true,1734,0,true,true,1734,ER - Eligible - Rental Assistance,false,false,0,true,true,false,true,,true,false,true,true,true,true,true,0,823.19,Renter-Moderate Damage(Renter No Cost),false,0,,false,0,false,0,false,0,false,false,true,1734,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134b8
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,2,0,1,0,1,0,"$15,000-$30,000",Renter,true,Mobile Home,false,false,Mobile,true,false,0,0,true,false,0,WVO - Withdrawn - Applicant Withdrew Voluntarily,true,false,0,false,true,false,true,,true,false,false,false,true,true,,0,0,,false,0,,false,0,false,0,false,0,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134a5
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,4,1,1,0,2,0,"$30,001-$60,000",Renter,true,Townhouse,false,false,Mobile,true,true,6915.24,0,true,true,2022,ER - Eligible - Rental Assistance,true,true,4893.24,false,false,false,true,true,true,false,false,false,true,true,true,0,5353.14,Renter-Major Damage(Renter No Cost),false,0,,false,0,false,0,false,0,false,false,true,2022,false,0,false,0,true,4893.24,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae1065613499
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,50-64,2,0,0,0,2,0,"$60,001-$120,000",Owner,true,House/Duplex,true,false,Internet,true,false,0,0,true,false,0,TSA - Transitional Sheltering Assistance,true,false,0,false,false,false,true,true,true,false,true,true,true,true,true,3426.4,229.95,,false,0,,false,0,false,0,true,170.66,true,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae106561349f
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,35-49,2,0,0,0,2,0,0,Owner,true,House/Duplex,true,false,Mobile,true,true,500,0,true,false,0,INI - Ineligible - Ineligible Insurance,true,true,500,true,true,false,true,true,true,false,false,false,true,true,false,128.82,0,,false,0,,false,0,false,0,true,74.1,true,true,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134c3
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,2,0,0,0,2,0,"$30,001-$60,000",Renter,true,Mobile Home,true,false,Mobile,true,false,0,0,true,false,0,"INR,INS - Ineligible No Relocation, Insured",true,false,0,true,true,false,true,true,true,false,false,false,true,true,true,0,2861.74,Renter-Major Damage(Renter No Cost),false,0,,false,0,false,0,false,0,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae106561349d
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,65+,2,0,0,0,0,2,"$60,001-$120,000",Owner,true,House/Duplex,true,false,Mobile,false,false,0,0,false,false,0,,false,false,0,true,true,false,true,true,,false,false,false,false,false,,0,0,,false,0,,false,0,false,0,false,0,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae106561349c
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,2,0,0,0,2,0,0,Renter,true,House/Duplex,false,false,Mobile,true,false,0,0,true,false,0,INS - Insured,false,false,0,false,false,false,true,true,true,false,false,false,false,false,,0,0,,false,0,,false,0,false,0,false,0,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134c1
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,5,1,2,0,2,0,"$30,001-$60,000",Renter,true,Townhouse,false,false,Mobile,true,true,2022,0,true,true,2022,ER - Eligible - Rental Assistance,true,false,0,true,true,false,true,true,true,false,false,false,true,true,true,0,1774.02,Renter-Major Damage(Renter No Cost),false,0,,false,0,false,0,false,0,false,false,true,2022,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134aa
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,2,0,0,0,2,0,"$15,000-$30,000",Renter,true,Apartment,false,false,Mobile,false,false,0,0,false,false,0,,false,false,0,true,false,false,false,,,false,false,false,false,false,,0,0,,false,0,,false,0,false,0,false,0,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134c4
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,4,0,1,1,2,0,"$60,001-$120,000",Owner,true,House/Duplex,true,false,Mobile,true,false,0,0,true,false,0,INS - Insured,true,false,0,false,true,false,true,true,true,false,false,false,true,true,true,2586.4,0,,false,0,,false,0,false,0,true,2470,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134a3
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,4,1,1,0,2,0,"$30,001-$60,000",Owner,true,House/Duplex,true,false,Mobile,true,false,0,0,true,false,0,INS - Insured,true,false,0,false,true,false,true,true,true,false,false,false,false,false,,0,0,,false,0,,false,0,false,0,false,0,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134a6
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,35-49,>5,0,0,>5,1,0,"$30,001-$60,000",Renter,true,Apartment,false,false,Mobile,true,true,25151.07,0,true,true,17075.6,IRCT - Ineligible Recertification ,true,true,8075.47,true,true,false,true,,true,false,false,false,true,true,true,0,12805.42,Renter-Major Damage(Renter No Cost),false,0,,false,0,false,0,false,0,true,true,true,16354,false,0,false,0,true,7575.47,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134bd
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,4,0,0,2,2,0,"$30,001-$60,000",Renter,true,Mobile Home,false,false,Mobile,true,true,16913.16,0,true,true,10776.07,IRCT - Ineligible Recertification ,true,true,6137.09,true,true,true,true,true,true,false,false,false,true,true,true,0,7096.99,Renter-Major Damage(Renter No Cost),false,0,,false,0,false,0,false,0,true,false,true,10107,false,0,false,0,true,6137.09,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134be
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,35-49,1,0,0,0,1,0,"$30,001-$60,000",Renter,true,Townhouse,false,false,Mobile,true,true,3720.41,0,true,true,1734,ER - Eligible - Rental Assistance,true,true,1986.41,true,true,false,true,,,false,false,false,true,true,true,0,2446.31,Renter-Major Damage(Renter No Cost),false,0,,false,0,false,0,false,0,false,false,true,1734,false,0,false,0,true,1986.41,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134d0
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,35-49,3,0,0,2,1,0,"$15,000-$30,000",Renter,true,Apartment,false,false,Mobile,true,true,19307.64,0,true,true,15373,ERCT - Eligible - Recertification  ,true,true,3934.64,true,true,false,true,,true,false,false,false,true,true,true,0,4434.65,Renter-Moderate Damage(Renter No Cost),false,0,,false,0,false,0,false,0,true,false,true,15373,false,0,false,0,true,3934.64,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134e5
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,2,0,0,1,1,0,"$30,001-$60,000",Renter,true,Mobile Home,false,false,Mobile,true,false,0,0,true,false,0,INPR - Ineligible - Not Primary Residence,true,false,0,false,true,false,true,true,true,false,false,false,true,true,,0,0,,false,0,,false,0,false,0,false,0,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134cc
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,50-64,2,0,0,0,1,1,"$60,001-$120,000",Owner,true,House/Duplex,true,false,Mobile,true,false,0,0,true,false,0,INS - Insured,false,false,0,false,true,false,true,true,true,false,true,true,false,false,,0,0,,false,0,,false,0,false,0,false,0,false,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134f5
Hurricane,2018-10-11T14:15:00.000Z,4399,Bay (County),FL,PANAMA CITY,32404,19-34,3,1,0,0,2,0,"$30,001-$60,000",Renter,true,Mobile Home,false,false,Mobile,true,false,0,0,true,false,0,TSA - Transitional Sheltering Assistance,true,false,0,false,false,false,true,true,true,false,false,false,true,true,true,0,0,Renter-Moderate Damage(Renter No Cost),false,0,,false,0,false,0,false,0,true,false,false,0,false,0,false,0,false,0,false,false,false,2021-03-20T14:43:43.000Z,607a9255cbe3ae10656134dd
